symbol,date,open,high,low,close,volume
MTD,11/1/2017,85.48,94.48,85.48,89.11,126018
MTD,11/2/2017,687.18,690.59,670.66,671.6,188056
MTD,11/3/2017,649.15,658.68,635.18,646,391640
MTD,11/6/2017,644.64,644.64,630.36,635.11,213558
AZO,11/22/2017,633,642.08,633,638.24,421550
MTD,11/20/2017,632.11,632.95,629.61,631.92,100046
MTD,11/14/2017,630,632.82,626.15,631.37,114422
MTD,11/17/2017,627.91,631.9,622.7,630.92,97335
MTD,11/13/2017,619.54,633.19,617.42,630.84,193305
MTD,11/16/2017,626.48,634.13,626.48,630.5,137198
MTD,11/21/2017,633.43,634.3,627.19,627.62,94810
MTD,11/9/2017,621.46,627.26,617.99,626.82,167847
MTD,11/22/2017,627.62,629.76,625.38,626.35,78904
MTD,11/15/2017,630.44,630.44,622.55,625.19,162479
MTD,11/7/2017,635.49,639.51,621.68,624.58,234314
MTD,11/8/2017,625.79,625.79,614.65,623.72,267862
MTD,11/10/2017,624.01,626.74,618.98,622.66,167847
AZO,11/20/2017,628.78,637.39,624.94,634.65,490326
AZO,11/21/2017,633.48,633.48,625.48,632.4,505383
AZO,11/17/2017,622.28,630.83,618.11,629.43,384230
AZO,11/16/2017,609.24,619.75,606.57,618.59,286105
AZO,11/15/2017,601.33,611.5,601.33,609.14,356307
AZO,11/14/2017,602.15,633.24,602.15,607.63,692393
AZO,11/6/2017,605.91,613,602.06,607,285368
AZO,11/3/2017,601.12,611.43,597.74,606.41,373539
AZO,11/9/2017,595.92,606.77,591.51,605.97,437142
AZO,11/7/2017,606.2,609.88,598.84,603.56,215570
AZO,11/2/2017,583.52,603.41,576.13,602.7,420864
AZO,11/10/2017,604.22,607.79,594.78,598.06,447849
AZO,11/8/2017,603.32,609.4,595.44,596.03,292251
AZO,11/13/2017,598.18,600.56,588.56,595.26,359984
AZO,11/1/2017,592.94,594.83,579.6,584.88,357093
BLK,11/21/2017,477.71,482.74,477.02,481.36,440921
