symbol,date,open,high,low,close,volume
MMM,1/3/2017,178.83,180,177.22,1761.77,2510055
MMM,1/4/2017,178.03,178.9,177.61,1760.8,1541985
MMM,1/5/2017,178.26,179.14,176.89,1754.24,1447848
MMM,1/6/2017,177.29,178.6,175.8,1753.11,1625049
MMM,1/9/2017,178.37,178.38,177.2,1752.01,1622625
MMM,1/10/2017,177.36,177.49,176.31,1751.99,2030149
MMM,1/11/2017,176.63,178.45,176.39,1750.01,1579593
MMM,1/12/2017,176.97,177.7,175.75,1749.42,1321766
MMM,1/13/2017,177.58,177.91,176.83,1748.33,1265593
MMM,1/17/2017,177,177.68,176.25,1747.14,1557453
MMM,1/18/2017,177.9,179.44,177.38,1743.49,1804904
MMM,1/19/2017,179.25,179.8,177.76,1738.77,1464364
MMM,1/20/2017,179.2,179.46,177.83,1736.46,1761850
MMM,1/23/2017,177.91,178.99,177.13,1735.1,1986788
MMM,1/24/2017,177.5,177.76,174.42,1734.37,3473183
MMM,1/25/2017,177.09,178.63,176.57,1733.18,3462633
MMM,1/26/2017,176.31,177.23,176.04,1730.21,2235889
MMM,1/27/2017,177.48,177.98,176.83,1724.13,1623666
MMM,1/30/2017,177.25,177.73,174.87,1651.74,1823128
MMM,1/31/2017,174.74,175.46,173.81,1648.96,1845543
MMM,2/1/2017,175.17,175.8,174.3,1648.88,2272854
MMM,2/2/2017,174.13,174.78,173.55,1647,3106798
MMM,2/3/2017,174.02,175.3,173.85,1646.51,2820960
MMM,2/6/2017,174.12,176.2,173.9,1646.18,1622756
MMM,2/7/2017,176.08,176.4,175.15,1637.4,1247389
MMM,2/8/2017,175.62,177.6,175.49,1637.29,2145683
MMM,2/9/2017,176.87,178.55,176.87,1637.26,2009742
MMM,2/10/2017,178.3,179.58,178.19,1632.01,1392438
MMM,2/13/2017,179.86,181.38,179.26,1631.62,1929821
MMM,2/14/2017,180.86,182,180.65,1611.83,2036188
MMM,2/15/2017,180.3,181.83,180.15,1602.92,1762914
MMM,2/16/2017,181.75,183.46,181.62,1602.31,2164045
MMM,2/17/2017,183.43,183.6,182.53,1601.19,1961456
MMM,2/21/2017,182.79,183.62,182.04,1598.7,1736345
MMM,2/22/2017,183.4,186.12,183.08,1587.18,2850946
MMM,2/23/2017,185.91,187.46,185.71,1583.38,2401641
MMM,2/24/2017,186.82,188.41,186.3,1581.44,2126326
MMM,2/27/2017,187.5,187.55,186.38,1578.82,1393808
MMM,2/28/2017,186.73,187.5,186.31,1578.13,1932120
MMM,3/1/2017,188.08,190.54,188.01,1575.31,2226206
MMM,3/2/2017,189.46,190.1,189.03,1575.13,1763962
MMM,3/3/2017,189.85,190.24,188.54,1574.09,1627706
MMM,3/6/2017,188.93,189.24,188.27,1570.26,1668743
MMM,3/7/2017,188.29,189.26,188.25,1563.33,1662286
MMM,3/8/2017,189.72,190.21,188.97,1557.98,1565272
MMM,3/9/2017,189.25,190.39,189.17,1554.99,1556675
MMM,3/10/2017,190.64,191.24,190.03,1554.32,2514991
MMM,3/13/2017,191.77,191.96,190.46,1548.67,1972733
MMM,3/14/2017,190.93,191.44,189.11,1545.82,1893619
MMM,3/15/2017,190.18,191.86,189.72,1545.01,2046978
MMM,3/16/2017,191.06,191.64,189.64,1541.86,1937139
MMM,3/17/2017,190.82,192.36,190.35,1540.65,4228102
MMM,3/20/2017,192.52,193.5,192.28,1540.13,2085593
MMM,3/21/2017,193.49,193.49,191.51,1540.11,1895059
MMM,3/22/2017,192.3,192.88,190.46,1539.02,1627326
MMM,3/23/2017,192.12,192.97,191.23,1538.59,1481951
MMM,3/24/2017,192.12,192.62,190.9,1536.78,1435374
MMM,3/27/2017,190.7,191,189.16,1536.11,1984622
MMM,3/28/2017,189.94,191.49,189.6,1535.42,2330159
MMM,3/29/2017,190.59,191.28,190.26,1535.25,1692204
MMM,3/30/2017,190.74,191.49,190.1,1529.64,1835414
MMM,3/31/2017,191.3,192.4,190.99,1528.45,1730048
MMM,4/3/2017,191.87,192.17,189.95,1527.04,1546695
MMM,4/4/2017,190.57,190.98,189.78,1525.07,1349899
MMM,4/5/2017,190.7,192.42,190.04,1524.18,1448737
MMM,4/6/2017,190.41,191.02,189.5,1521.68,1627375
MMM,4/7/2017,190.03,190.56,189.52,1520.99,1025166
MMM,4/10/2017,190.16,190.52,189.31,1520.57,1682689
MMM,4/11/2017,189.13,190.09,188.99,1520.27,1459582
MMM,4/12/2017,190.31,190.49,189.4,1512.9,1416141
MMM,4/13/2017,189.25,189.86,188.62,1507.35,1274376
MMM,4/17/2017,189.31,190.36,189.29,1505.76,1543558
MMM,4/18/2017,189.76,190.84,189.51,1504.82,1176884
MMM,4/19/2017,190.8,191.13,189.52,1503.7,1340386
MMM,4/20/2017,190.02,192.11,189.9,1503.68,1748179
MMM,4/21/2017,191.15,191.62,190.59,1503.23,2584194
MMM,4/24/2017,193,194.45,192.93,1502.25,2709554
MMM,4/25/2017,193.99,195.61,192.36,1501.2,4182229
MMM,4/26/2017,195.7,196.9,194.99,1499.76,2641226
MMM,4/27/2017,195.43,196.54,195.11,1497.58,1770896
MMM,4/28/2017,196.15,197.12,195.54,1497.45,2467076
MMM,5/1/2017,195.5,195.73,194.47,1493.42,1498630
MMM,5/2/2017,195.16,196.53,194.58,1490.44,2467164
MMM,5/3/2017,196.6,197.87,195.71,1489.18,2339647
MMM,5/4/2017,198.3,199.54,197.76,1489.02,2321297
MMM,5/5/2017,199.67,199.9,198.98,1488.83,1688558
MMM,5/8/2017,198.84,199.15,198.3,1487.29,1576134
MMM,5/9/2017,199.36,199.36,197.53,1486.72,1747761
MMM,5/10/2017,197.37,197.59,196.53,1486.2,2248260
MMM,5/11/2017,196.04,196.94,195.26,1484.28,1704992
MMM,5/12/2017,195.9,197.12,195.86,1481.34,1323128
MMM,5/15/2017,196.67,197.74,196.23,1480.46,1474490
MMM,5/16/2017,197.48,197.94,196.86,1480.33,1183560
MMM,5/17/2017,195.39,195.91,194.72,1480.16,1881826
MMM,5/18/2017,194.5,195.82,193.54,1479.82,1928994
MMM,5/19/2017,196.3,196.3,194.45,1479.66,1894690
MMM,5/22/2017,196.35,198.67,196.35,1479.03,1836024
MMM,5/23/2017,198.73,198.97,197.52,1477.57,1514199
MMM,5/24/2017,198.49,198.53,197.28,1475.18,1291463
MMM,5/25/2017,198.41,199.61,197.75,1474.82,1508025
MMM,5/26/2017,199.14,200.69,198.97,1474.23,1410620
MMM,5/30/2017,200.31,203.03,199.96,1473,2171094
MMM,5/31/2017,202.73,204.47,202.27,1472.98,3096767
MMM,6/1/2017,204.25,204.9,203.68,1471.8,2352733
MMM,6/2/2017,205.06,207.39,204.79,1471.49,1831928
MMM,6/5/2017,206.77,207.33,206.22,1469.2,1253148
MMM,6/6/2017,206.01,206.66,205.41,1469.16,1458772
MMM,6/7/2017,205.73,205.87,204.1,1468.29,1885635
MMM,6/8/2017,204.84,206.03,204.09,1467.39,2451348
MMM,6/9/2017,206,206.97,205.64,1467,1893492
MMM,6/12/2017,207.06,208.42,205.5,1466.06,2388199
MMM,6/13/2017,207.58,209.66,207.56,1465.87,1688785
MMM,6/14/2017,209.78,210.78,209.53,1464,1585260
MMM,6/15/2017,209.5,211.32,209.44,1463.02,1594060
MMM,6/16/2017,211.73,213.46,211.44,1460.05,3420608
MMM,6/19/2017,214,214,212.7,1459.02,1667649
MMM,6/20/2017,213.45,214.57,213.05,1458.03,1531242
MMM,6/21/2017,214.02,214.02,212.09,1457.22,1812903
MMM,6/22/2017,212.73,213.12,212.09,1456.76,1400401
MMM,6/23/2017,212,213.17,211.71,1454.97,1584876
MMM,6/26/2017,212.79,213.47,212.31,1454.84,1352092
MMM,6/27/2017,212,212.5,209.38,1453.49,2240166
MMM,6/28/2017,210.78,211.18,210.09,1449,1542943
MMM,6/29/2017,211.05,211.05,207.08,1448.06,1809919
MMM,6/30/2017,209.91,209.91,207.85,1447.15,1769958
MMM,7/3/2017,209.14,210.34,208.75,1445.83,1040334
MMM,7/5/2017,210,210.24,209.41,1445.33,1065328
MMM,7/6/2017,209.05,209.72,207.89,1444.01,1189853
MMM,7/7/2017,208.5,210.15,208.04,1443.07,1531004
MMM,7/10/2017,209.6,211.74,208.99,1442.52,1308603
MMM,7/11/2017,210.41,211.2,208,1439.57,1268059
MMM,7/12/2017,210.91,212.78,210.27,1438.1,1447890
MMM,7/13/2017,211.2,212,210.18,1437.65,1138838
MMM,7/14/2017,211.52,212.24,210.63,1436.96,1061971
MMM,7/17/2017,212.2,212.2,210.59,1436.21,1311262
MMM,7/18/2017,210.68,211.52,210.3,1432,1562553
MMM,7/19/2017,211.51,212.1,211.17,1429.38,825309
MMM,7/20/2017,212.21,213.41,212.06,1427.2,1347433
MMM,7/21/2017,211.65,211.84,209.48,1425.19,2246238
MMM,7/24/2017,211.2,211.66,210,1424.28,2165186
MMM,7/25/2017,202.65,204.5,197.17,1423.99,6593035
MMM,7/26/2017,200.45,201.15,198.55,1422.85,2922097
MMM,7/27/2017,199.14,200.56,197.67,1422.47,2175148
MMM,7/28/2017,200.79,201.04,198.69,1419.79,1488022
MMM,7/31/2017,,201.66,,1418.59,1833625
MMM,8/1/2017,202.29,203.31,201.76,1416.73,2015108
MMM,8/2/2017,203.19,205.6,202.82,1416.55,2029646
MMM,8/3/2017,205.91,207.64,205.12,1415.95,2054236
MMM,8/4/2017,207.95,208.61,206.11,1415.55,1522668
MMM,8/7/2017,207.9,208.4,206.68,1413.9,1172563
MMM,8/8/2017,206.83,207.89,205.69,1410.18,1856282
MMM,8/9/2017,206.69,207.91,205.59,1408.66,1622213
MMM,8/10/2017,205.62,207.16,205.18,1407.98,1571545
MMM,8/11/2017,206.85,206.85,205.63,1399.16,1452811
ABT,1/3/2017,38.63,39.08,38.34,966.79,9677316
ABT,1/4/2017,39.06,39.72,39.06,966.07,22644542
ABT,1/5/2017,39.24,39.75,38.98,965.59,12080148
ABT,1/6/2017,39.7,40.99,39.66,965.4,14628910
ABT,1/9/2017,40.79,41.06,40.62,965.31,10992496
ABT,1/10/2017,40.81,41.62,40.78,965.14,9256298
ABT,1/11/2017,41.05,41.42,40.48,964.91,10699446
ABT,1/12/2017,40.79,40.79,40.31,964.86,8633354
ABT,1/13/2017,40.75,41.36,40.69,964.61,9533780
ABT,1/17/2017,40.67,41.04,40.53,964.17,8272727
ABT,1/18/2017,41.05,41.1,40.51,964.07,7195205
ABT,1/19/2017,40.64,40.73,40.24,961.81,7160171
ABT,1/20/2017,40.51,40.77,40.34,961.35,5908000
ABT,1/23/2017,40.32,40.54,40.2,961.01,7351854
ABT,1/24/2017,40.32,40.5,40.12,960.18,7773693
ABT,1/25/2017,39.76,40.46,39.25,959.84,16890214
ABT,1/26/2017,40.46,41.12,40.45,959.45,9410238
ABT,1/27/2017,41.11,41.31,40.9,959.22,7033637
ABT,1/30/2017,40.86,41.14,40.77,958.69,13811560
ABT,1/31/2017,40.73,41.79,40.6,958.62,12318224
ABT,2/1/2017,41.51,42.37,41.44,958.49,11948793
