Name,Sector
AES,Basic Industries
APD,Basic Industries
ALB,Basic Industries
CF,Basic Industries
CHD,Basic Industries
GLW,Basic Industries
EMN,Basic Industries
ECL,Basic Industries
FLR,Basic Industries
FMC,Basic Industries
FBHS,Basic Industries
FCX,Basic Industries
IP,Basic Industries
IFF,Basic Industries
JEC,Basic Industries
LEN,Basic Industries
LYB,Basic Industries
MLM,Basic Industries
MAS,Basic Industries
MON,Basic Industries
MOS,Basic Industries
NEM,Basic Industries
NUE,Basic Industries
PPG,Basic Industries
PX,Basic Industries
PG,Basic Industries
SEE,Basic Industries
SRCL,Basic Industries
VMC,Basic Industries
A,Capital Goods
APH,Capital Goods
ARNC,Capital Goods
BA,Capital Goods
BWA,Capital Goods
CAT,Capital Goods
DHI,Capital Goods
DHR,Capital Goods
DE,Capital Goods
DLPH,Capital Goods
FLIR,Capital Goods
FLS,Capital Goods
F,Capital Goods
FTV,Capital Goods
GRMN,Capital Goods
GD,Capital Goods
GM,Capital Goods
GPC,Capital Goods
HRS,Capital Goods
HON,Capital Goods
ILMN,Capital Goods
IR,Capital Goods
KLAC,Capital Goods
MTD,Capital Goods
NOC,Capital Goods
PCAR,Capital Goods
PH,Capital Goods
PKI,Capital Goods
PHM,Capital Goods
PWR,Capital Goods
RTN,Capital Goods
ROK,Capital Goods
COL,Capital Goods
ROP,Capital Goods
SNA,Capital Goods
SWK,Capital Goods
TXT,Capital Goods
TMO,Capital Goods
TDG,Capital Goods
UTX,Capital Goods
WAT,Capital Goods
XYL,Capital Goods
MO,Consumer Non-Durables
ADM,Consumer Non-Durables
CPB,Consumer Non-Durables
CTAS,Consumer Non-Durables
KO,Consumer Non-Durables
CL,Consumer Non-Durables
CAG,Consumer Non-Durables
STZ,Consumer Non-Durables
COTY,Consumer Non-Durables
DPS,Consumer Non-Durables
EL,Consumer Non-Durables
GIS,Consumer Non-Durables
HOG,Consumer Non-Durables
HAS,Consumer Non-Durables
HSY,Consumer Non-Durables
HRL,Consumer Non-Durables
SJM,Consumer Non-Durables
K,Consumer Non-Durables
KHC,Consumer Non-Durables
LUK,Consumer Non-Durables
MAT,Consumer Non-Durables
MKC,Consumer Non-Durables
KORS,Consumer Non-Durables
TAP,Consumer Non-Durables
MDLZ,Consumer Non-Durables
MNST,Consumer Non-Durables
NKE,Consumer Non-Durables
PEP,Consumer Non-Durables
PM,Consumer Non-Durables
RL,Consumer Non-Durables
PVH,Consumer Non-Durables
SYY,Consumer Non-Durables
TEL,Consumer Non-Durables
